Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Haissem Hassan,fr FRA,"FW,MF",Oviedo,23,8,6,538,0,1,0,1,0,0.5,0.5
Jorge Herrando,es ESP,DF,Osasuna,24,5,2,194,0,0,0,0,0,0,0
Sergio Herrera,es ESP,GK,Osasuna,32,8,8,720,0,0,0,0,0,0,0
Yangel Herrera,ve VEN,MF,Girona,27,2,2,110,0,0,0,0,0,0,0
Omar El Hilali,ma MAR,DF,Espanyol,22,8,8,683,0,1,0,2,0,0,0.5
Ali Houary,ma MAR,MF,Elche,20,2,2,123,0,0,0,0,0,0.1,0
Dean Huijsen,es ESP,DF,Real Madrid,20,7,7,569,0,1,0,1,1,0.3,1
Pablo Ibáñez,es ESP,MF,Alavés,27,8,7,546,0,0,0,2,0,0.5,0
Stanis Idumbo,be BEL,MF,Sevilla,20,1,1,45,0,0,0,0,0,0,0.1
Iglesias,es ESP,DF,Getafe,27,7,6,564,1,0,0,0,0,0.3,0
Borja Iglesias,es ESP,FW,Celta Vigo,32,8,4,433,4,0,1,1,0,3,0.5
Luka Ilić,rs SRB,"MF,FW",Oviedo,26,7,5,430,1,0,0,4,1,0.3,0.1
Urko Izeta,es ESP,MF,Athletic Club,26,2,0,20,0,0,0,1,0,0,0
Jairo Izquierdo,es ESP,"MF,DF",Elche,31,1,0,24,0,0,0,0,0,0,0
Adnan Januzaj,be BEL,"FW,MF",Sevilla,30,5,1,130,0,0,0,1,0,0.1,0.1
Mikel Jauregizar,es ESP,MF,Athletic Club,21,8,8,710,1,0,0,0,0,0.5,0.4
Jofre,es ESP,"FW,MF",Espanyol,24,3,1,89,0,0,0,0,0,0,0.1
Frenkie de Jong,nl NED,MF,Barcelona,28,6,5,461,0,1,0,1,0,0,0.3
Josan,es ESP,"DF,FW",Elche,35,3,2,164,0,1,0,1,0,0.1,1.7
Mateo Joseph,es ESP,"FW,MF",Mallorca,21,7,4,399,0,1,0,0,0,1.4,0.1
Juanmi,es ESP,FW,Getafe,32,1,0,16,0,0,0,0,0,0,0
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,24,6,6,540,0,0,0,1,0,0,0
Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25,8,7,589,5,4,1,1,0,2.9,2
Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,26,6,4,293,0,0,0,0,0,0.9,0.4
Abu Kamara,eng ENG,"FW,MF",Getafe,22,3,1,113,0,0,0,0,0,0,0
Jon Karrikaburu,es ESP,"FW,MF",Real Sociedad,23,3,0,59,0,0,0,0,0,0.1,0
Kiké,es ESP,FW,Espanyol,35,8,2,282,1,0,1,1,0,1.8,0.4
Koke,es ESP,MF,Atlético Madrid,33,7,5,449,0,1,0,2,0,0,0.8
Luca Koleosho,it ITA,"MF,FW",Espanyol,21,3,0,63,0,0,0,0,0,0,0
Jules Koundé,fr FRA,DF,Barcelona,26,8,5,488,1,0,0,2,0,0.3,0
Lancinet Kourouma,gn GUI,MF,Girona,21,2,0,13,0,0,0,0,0,0,0
Goduine Koyalipou,cf CTA,FW,Levante,25,5,0,81,1,0,0,1,0,0.4,0
Vladyslav Krapyvtsov,ua UKR,GK,Girona,20,2,1,136,0,0,0,0,0,0,0
Ladislav Krejčí,cz CZE,DF,Girona,26,2,2,180,0,0,0,1,0,0.1,0
Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,24,8,5,471,1,0,0,0,0,0.9,1
Marash Kumbulla,al ALB,DF,Mallorca,25,4,3,215,0,0,0,0,0,0,0
Adrián de la Fuente,es ESP,DF,Levante,26,7,6,565,0,0,0,2,0,0.2,0
Yoel Lago,es ESP,DF,Celta Vigo,21,4,4,333,0,0,0,2,0,0,0
Aymeric Laporte,es ESP,DF,Athletic Club,31,4,3,297,0,0,0,1,0,0,0
Toni Lato,es ESP,DF,Mallorca,27,4,2,159,0,0,0,0,0,0,0
Robin Le Normand,es ESP,DF,Atlético Madrid,28,8,8,706,1,0,0,2,0,0.4,0
Florian Lejeune,fr FRA,DF,Rayo Vallecano,34,8,8,710,0,0,0,2,0,0.6,0.1
Youssef Lekhedim,es ESP,DF,Alavés,19,5,2,224,0,0,0,1,0,0.2,0
Iñigo Lekue,es ESP,"DF,FW",Athletic Club,32,2,1,99,0,0,0,0,0,0.1,0
Thomas Lemar,fr FRA,"MF,FW",Girona,29,3,1,143,0,0,0,0,0,0.1,0.1
Clément Lenglet,fr FRA,DF,Atlético Madrid,30,5,5,399,0,0,0,3,1,0.1,0
Robert Lewandowski,pl POL,FW,Barcelona,37,7,3,347,4,0,0,0,0,3.8,0.2
Adrián Liso,es ESP,FW,Getafe,20,5,5,425,3,0,0,1,0,0.7,0
Javier Llabrés,es ESP,"FW,MF",Mallorca,23,2,0,29,0,0,0,0,0,0,0.1
Diego Llorente,es ESP,DF,Betis,32,1,1,45,0,0,0,0,0,0,0
Marcos Llorente,es ESP,DF,Atlético Madrid,30,8,8,720,0,2,0,2,0,1.1,0.9
Giovani Lo Celso,ar ARG,MF,Betis,29,7,6,548,1,2,0,2,0,1.2,1.1
David López,es ESP,DF,Mallorca,22,1,1,61,0,0,0,0,0,0,0
David López,es ESP,DF,Girona,35,3,2,202,0,0,0,0,0,0.6,0
Diego López,es ESP,"MF,FW",Valencia,23,8,7,565,2,0,0,1,0,1,0.5
Fermin López,es ESP,"MF,FW",Barcelona,22,4,2,195,2,0,0,0,0,0.3,1.2
Javi López,es ESP,DF,Oviedo,23,1,1,64,0,0,0,0,0,0,0
Pau López,es ESP,GK,Betis,30,5,5,450,0,0,0,1,0,0,0
Unai López,es ESP,MF,Rayo Vallecano,29,8,6,448,0,1,0,2,0,0.1,0.3
Iker Losada,es ESP,"MF,FW",Levante,24,3,0,40,0,0,0,0,0,0,0
Pol Lozano,es ESP,MF,Espanyol,26,8,8,588,1,0,0,1,0,0.1,0.1
Sergio Lozano,es ESP,MF,Levante,26,1,0,12,0,0,0,0,0,0,0
Oier Luengo,es ESP,DF,Oviedo,27,2,2,135,0,0,0,0,0,0,0
José Luis Gayà,es ESP,DF,Valencia,30,6,6,425,0,0,0,2,1,0,0.4
José Luis Morales,es ESP,"MF,FW",Levante,38,8,1,207,1,0,1,1,0,1,0.3
Dodi Lukebakio,be BEL,"FW,MF",Sevilla,28,2,2,180,1,0,0,0,0,0.1,0.8
Pablo Maffeo,es ESP,DF,Mallorca,28,4,3,300,0,0,0,2,0,0.1,0.1
Marcão,br BRA,DF,Sevilla,29,6,4,376,0,0,0,1,0,0.2,0
Mariano,do DOM,FW,Alavés,32,7,2,226,0,0,0,1,0,0.1,0.2
Rafa Marín,es ESP,DF,Villarreal,23,7,7,630,1,0,0,1,0,0.3,0
